,Pension - Accumulated Benefit Obligation,Pension - Long-Term Asset,Pension Actual Return on Plan Assets,Pension Beginning Plan Assets,Pension Employer Contribution,Employer Contributions - Expected Next Year,Pension - Current Liability,Pension Benefits Paid,Pension - Projected Benefit Obligation,Pension Plans - Interest Cost,Pension Plan Assets,Pension Plans - Other Periodic Cost Components (Net),Periodic Postretirement Benefit Cost (Net),Pension Plans - Rate of Compensation Increase,Pension Plans - Anticipated Long-Term Rate of Return on Plan Assets,Pension Plans - Return on Plan Assets (Expected),Pension Plans - Service Cost,Postretirement - Long-Term Asset,Post Retirement Actual Return on Plan Assets,Postretirement Benefit Asset,Postretirement Benefit Obligation,Postretirement Employer Contributions,Postretirement Interest Cost,Postretirement - Current Liability,Postretirement - Long-Term Liability,Postretirement Other Adjustments (Plan Assets),Postretirement Other Adjustments (Net Benefit Asset/Liability),Postretirement Net Total Other Costs,Postretirement Benefits Paid,Postretirement Participant Contributions,Postretirement Prior Service,Postretirement Service Cost,Global Company Key,Record_Date
0,151.9,0.0,8.6,129.9,0.4,3.1,0.4,7.1,159.1,3.8,131.8,3.5,-0.725916288989603,3.0,7.25,-6.8,2.8,0.0,0.0,-0.4,0.4,9.571354472445305,8.668284632641615,11.252293878825734,0.4,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1004,2020-05-31
1,153.0,10.4,23.8,131.8,2.7,2.3,0.4,6.8,159.0,3.1,158.4,3.2,-0.725916288989603,3.0,7.25,-6.6,2.5,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1004,2021-05-31
2,116.5,9.7,-16.7,158.4,0.5,0.3,0.3,7.6,120.2,3.1,126.2,2.9,-0.725916288989603,3.0,7.25,-7.5,1.5,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1004,2022-05-31
3,105.3,8.7,-7.4,126.2,0.3,0.4,0.2,5.8,108.0,3.3,112.6,0.8,-0.725916288989603,3.0369617956064947,2.91,-4.1,0.5,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1004,2023-05-31
4,2007.997043255913,0.0,0.643,5.819,0.3,40.81427289719626,0.0,0.525,8.662,0.319,6.237,0.19,0.006,3.0369617956064947,3.5,-0.198,0.0,0.0,0.0,-0.087,0.087,0.017,0.003,0.015,0.072,0.0,0.038,0.003,0.017,0.0,0.0,0.0,1019,2019-12-31
5,2007.997043255913,0.0,0.317,6.237,0.4,40.81427289719626,0.0,0.677,9.155,0.235,6.277,0.23,0.007,3.0369617956064947,3.0,-0.181,0.0,0.0,0.0,-0.113,0.113,0.033,0.002,0.014,0.099,0.0,0.09,0.005,0.033,0.0,0.0,0.0,1019,2020-12-31
6,2007.997043255913,0.0,2305.0,10053.0,1230.0,196.0,5.0,689.0,18358.0,703.0,12897.0,178.0,-246.0,3.0369617956064947,8.0,-815.0,2.0,0.0,41.0,-620.0,824.0,12.0,33.0,24.0,596.0,0.0,-426.0,-267.0,74.0,0.0,-120.0,3.0,1045,2019-12-31
7,2007.997043255913,0.0,1427.0,12897.0,9.0,697.0,7.0,740.0,19812.0,615.0,13557.0,206.0,278.0,3.0369617956064947,8.0,-1010.0,2.0,0.0,13.0,-876.0,1046.0,30.0,30.0,55.0,821.0,0.0,-358.0,251.0,77.0,0.0,-181.0,8.0,1045,2020-12-31
8,2007.997043255913,0.0,1710.0,13557.0,247.0,40.81427289719626,7.0,822.0,18910.0,526.0,14691.0,240.0,132.0,3.0369617956064947,8.0,-1084.0,4.0,0.0,21.0,-931.0,1098.0,48.0,30.0,90.0,841.0,0.0,-396.0,102.0,72.0,0.0,-167.0,12.0,1045,2021-12-31
9,2007.997043255913,0.0,-1943.0,14691.0,5.0,40.81427289719626,4.0,869.0,14037.0,556.0,11884.0,184.0,-10.0,3.0369617956064947,8.0,-1138.0,3.0,0.0,-18.0,-773.0,906.0,58.0,30.0,85.0,688.0,0.0,-505.0,-44.0,74.0,0.0,-148.0,16.0,1045,2022-12-31
10,2007.997043255913,0.0,4.431,24.197,0.491,1.5,0.0,2.02,35.985,1.303,27.099,0.263,-0.725916288989603,3.0369617956064947,5.35,-1.254,0.0,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1050,2019-12-31
11,2007.997043255913,0.0,1.629,27.099,1.887,2.2,0.0,2.07,38.272,1.034,28.545,0.266,-0.725916288989603,3.0369617956064947,6.0,-1.594,0.0,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1050,2020-12-31
12,2007.997043255913,0.0,3.005,28.545,0.0,2.2,0.0,2.076,35.035,0.775,29.474,0.411,-0.725916288989603,3.0369617956064947,5.5,-1.51,0.0,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1050,2021-12-31
13,2007.997043255913,0.0,-5.631,29.474,0.0,2.2,0.0,2.022,27.35,0.877,21.821,0.263,-0.725916288989603,3.0369617956064947,5.5,-1.56,0.0,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1050,2022-12-31
14,2007.997043255913,0.0,602.03,2733.476,150.0,100.0,14.578,167.155,3613.114,136.843,3318.351,42.584,-27.97,4.0,7.0,-171.884,49.902,90.57,144.095,90.57,746.924,0.0,29.894,0.0,0.0,0.0,-0.0892080745341601,-37.821,30.278,0.0,-18.609389578333904,18.369,1075,2019-12-31
15,2007.997043255913,165.861,642.373,3318.351,100.0,100.0,15.7,174.18,3902.867,118.567,3886.544,34.612,-29.559,4.0,6.5,-187.443,56.233,337.131,150.076,337.131,624.034,0.0,25.857,0.0,0.0,0.0,-0.0892080745341601,-37.575,26.405,0.0,-18.609389578333904,22.236,1075,2020-12-31
16,2007.997043255913,265.129,18.169,3886.544,100.0,100.0,17.047,192.672,3716.824,98.566,3812.041,15.948,-54.933,4.0,6.0,-202.628,61.236,280.594,41.432,280.594,591.841,0.0,16.513,0.0,0.0,-105.852,-0.0892080745341601,-47.798,24.31,0.0,-18.609389578333904,17.796,1075,2021-12-31
17,2007.997043255913,153.773,-787.874,3812.041,0.0,0.0,17.531,194.682,2809.529,107.492,2829.485,17.515,-62.705,4.57,6.5,-185.775,55.473,242.826,-193.807,242.826,409.461,0.0,17.491,0.0,0.0,0.0,-0.0892080745341601,-50.624,26.341,0.0,-18.609389578333904,16.47,1075,2022-12-31
18,10200.0,687.0,1622.0,8553.0,382.0,387.0,26.0,302.0,11238.0,337.0,10277.0,133.0,38.0,4.3,7.5,-710.0,250.0,0.0,65.0,-1196.0,1556.0,12.0,52.0,1.0,1195.0,0.0,529.0,-10.0,68.0,0.0,-95.0,23.0,1078,2019-12-31
19,11900.0,824.0,1463.0,10277.0,400.0,410.0,29.0,327.0,13129.0,300.0,12018.0,256.0,53.0,4.3,7.5,-770.0,336.0,0.0,46.0,-1214.0,1567.0,12.0,42.0,1.0,1213.0,0.0,486.0,-7.0,65.0,0.0,-67.0,46.0,1078,2020-12-31
20,11500.0,2270.0,1521.0,12018.0,418.0,415.0,31.0,340.0,12773.0,248.0,13468.0,318.0,63.0,4.3,7.5,-843.0,391.0,0.0,56.0,-1196.0,1566.0,35.0,33.0,2.0,1194.0,0.0,412.0,1.0,74.0,0.0,-39.0,56.0,1078,2021-12-31
21,8400.0,3200.0,-1856.0,13468.0,413.0,407.0,32.0,368.0,9167.0,300.0,11373.0,232.0,43.0,4.5,7.5,-931.0,374.0,0.0,-33.0,-824.0,1126.0,35.0,36.0,2.0,822.0,0.0,27.0,-13.0,70.0,0.0,-33.0,50.0,1078,2022-12-31
22,2007.997043255913,83.554,21.974,163.274,45.56636421920317,40.81427289719626,0.0,7.283,91.366,3.251,174.92,0.55,-0.725916288989603,3.0369617956064947,5.136904919479373,-5.969,0.006,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1096,2019-12-31
23,2007.997043255913,55.186,-19.749,174.92,45.56636421920317,40.81427289719626,0.0,7.682,89.031,2.751,144.217,0.55,-0.725916288989603,3.0369617956064947,5.136904919479373,-5.292,0.006,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1096,2020-12-31
24,2007.997043255913,83.043,27.1,144.217,45.56636421920317,40.81427289719626,0.0,8.516,76.769,2.073,159.812,0.55,-0.725916288989603,3.0369617956064947,5.136904919479373,-3.363,0.006,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1096,2021-12-31
25,2007.997043255913,74.659,-12.266,159.812,45.56636421920317,40.81427289719626,0.0,6.208,61.703,2.262,136.362,0.55,-0.725916288989603,3.0369617956064947,5.136904919479373,-4.746,0.006,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1096,2022-12-31
26,2007.997043255913,0.0,0.201,1.014,0.014,0.0,0.0,0.201,1.073,0.042,1.028,0.09,-0.725916288989603,3.0369617956064947,6.0,-0.054,0.025,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1104,2019-12-31
